p,q,x,y,z,theta,phi,hex1,hex2
6,-10,-0.784401,-0.579981,-0.219858,102.7007,143.521,8,25
-4,12,0.943306,0.103074,0.315516,71.608,-6.2359,30,15
0,1,0.582268,-0.800273,0.143272,81.7628,53.9608,19,19
4,-7,-0.296606,-0.954448,-0.032468,91.8606,107.2632,11,23
1,-1,0.412855,-0.905022,0.1024,84.1226,65.4784,17,20
-2,6,0.852539,-0.445579,0.273199,74.1453,27.5938,24,17
-3,9,0.932781,-0.178513,0.313134,71.7518,10.8341,27,16
2,-3,0.197866,-0.9783,0.06146,86.4764,78.5659,15,21
3,-5,-0.046929,-0.998304,0.034438,88.0264,92.6914,13,22
-1,4,0.755103,-0.613747,0.230509,76.673,39.1042,22,18
5,-8,-0.482366,-0.873724,-0.062683,93.5939,118.9023,10,24
-3,10,0.936467,-0.105811,0.334415,70.463,6.4465,28,16
-2,7,0.875665,-0.379046,0.299225,72.5889,23.4062,25,17
0,2,0.623262,-0.760005,0.184219,79.3844,50.6457,20,19
4,-6,-0.201547,-0.979284,0.019526,88.8812,101.6297,12,23
6,-9,-0.680266,-0.722334,-0.124383,97.1451,133.2821,9,25
1,0,0.472661,-0.869118,0.145687,81.6229,61.4609,18,20
2,-2,0.265339,-0.959541,0.094219,84.5936,74.5424,16,21
3,-4,0.040198,-0.997818,0.052385,86.9972,87.693,14,22
7,-10,-0.857685,-0.476158,-0.194037,101.1885,150.9624,8,26
-1,5,0.784227,-0.559168,0.268923,74.3998,35.4895,23,18
-3,11,0.93763,-0.034965,0.345871,69.765,2.1356,29,16
-2,8,0.887189,-0.322928,0.329566,70.7576,20.001,26,17
0,3,0.664787,-0.713746,0.220512,77.2609,47.034,21,19
5,-7,-0.378216,-0.925661,-0.010212,90.5851,112.2245,11,24
-3,12,0.931702,0.035727,0.361463,68.8099,-2.196,30,16
1,1,0.522952,-0.832928,0.180979,79.5732,57.8774,19,20
3,-3,0.110266,-0.99067,0.080095,85.406,83.6488,15,22
2,-1,0.337759,-0.932791,0.125778,82.7743,70.095,17,21
4,-5,-0.131054,-0.989254,0.06482,86.2835,97.5465,13,23
-1,6,0.813481,-0.493913,0.307082,72.1166,31.2645,24,18
6,-8,-0.578402,-0.814748,-0.040462,92.3189,125.3715,10,25
-2,9,0.901105,-0.244025,0.358414,68.9971,15.1526,27,17
7,-9,-0.76811,-0.629399,-0.117744,96.7619,140.6684,9,26
0,4,0.716148,-0.649048,0.256648,75.1288,42.1862,22,19
5,-6,-0.28042,-0.95915,0.03735,87.8595,106.297,12,24
1,2,0.559869,-0.79964,0.217075,77.4627,55.0022,20,20
-1,7,0.839274,-0.429319,0.333623,70.5112,27.0914,25,18
-2,10,0.913383,-0.157829,0.375261,67.9595,9.8037,28,17
2,0,0.394604,-0.903906,0.165051,80.4998,66.4161,18,21
4,-4,-0.045928,-0.995972,0.077004,85.5836,92.6403,14,23
3,-2,0.184968,-0.974228,0.1291,82.5824,79.2497,16,22
0,5,0.743259,-0.597411,0.301107,72.4759,38.7914,23,19
-2,11,0.916034,-0.087231,0.391499,66.9522,5.4397,29,17
6,-7,-0.474065,-0.880372,0.014424,89.1735,118.3017,11,25
-1,8,0.853714,-0.372965,0.363414,68.69,23.5992,26,18
1,3,0.605838,-0.753705,0.254736,75.2421,51.2072,21,20
5,-5,-0.196053,-0.97847,0.064493,86.3023,101.3301,13,24
7,-8,-0.668332,-0.74309,-0.033898,91.9426,131.9681,10,26
-2,12,0.917119,-0.00335,0.398599,66.5094,0.2093,30,17
8,-9,-0.858858,-0.500054,-0.110949,96.37,149.7907,9,27
2,1,0.452665,-0.865955,0.212639,77.723,62.4023,19,21
4,-3,0.0273,-0.993624,0.109389,83.7199,88.4262,15,23
3,-1,0.254333,-0.952036,0.170125,80.2049,75.0429,17,22
0,6,0.767835,-0.545827,0.335414,70.4023,35.4077,24,19
-2,13,0.905528,0.091308,0.414345,65.5219,-5.7579,31,17
-1,9,0.870214,-0.290599,0.397844,66.5565,18.4662,27,18
6,-6,-0.372801,-0.925742,0.063418,86.364,111.9349,12,25
1,4,0.660626,-0.690519,0.294544,72.8698,46.2674,22,20
-1,10,0.8876,-0.207923,0.411016,65.7314,13.184,28,18
5,-4,-0.134137,-0.986177,0.097278,84.4175,97.7457,14,24
2,2,0.496772,-0.831587,0.248356,75.6197,59.1468,20,21
0,7,0.795566,-0.478918,0.371096,68.2168,31.0473,25,19
7,-7,-0.573674,-0.818781,0.022253,88.7249,125.0168,11,26
3,0,0.314926,-0.928491,0.19679,78.6507,71.2641,18,22
4,-2,0.098327,-0.983797,0.149917,81.3779,84.2924,16,23
8,-8,-0.764336,-0.643818,-0.0359,92.0574,139.8918,10,27
-1,11,0.892639,-0.136821,0.429507,64.5637,8.7143,29,18
1,5,0.705182,-0.625902,0.333114,70.5421,41.5915,23,20
0,8,0.818423,-0.415105,0.39733,66.5886,26.8941,26,19
6,-5,-0.280721,-0.954942,0.09634,84.4715,106.3816,13,25
2,3,0.550899,-0.784916,0.283578,73.5261,54.9366,21,21
-1,12,0.895851,-0.055884,0.440826,63.8434,3.5695,30,18
5,-3,-0.053264,-0.988454,0.141847,81.8452,93.0845,15,24
3,1,0.374103,-0.896666,0.236723,76.3068,67.3533,19,22
-1,13,0.902907,0.04838,0.427104,64.7161,-3.0671,31,18
4,-1,0.173326,-0.964712,0.198212,78.5676,79.8146,17,23
1,6,0.730818,-0.574928,0.367916,68.4128,38.1918,24,20
7,-6,-0.466378,-0.882126,0.065915,86.2206,117.8653,12,26
0,9,0.836129,-0.338559,0.431586,64.4317,22.0437,27,19
9,-8,-0.871503,-0.489058,-0.036128,92.0705,150.7003,10,28
8,-7,-0.668182,-0.743775,0.018209,88.9566,131.9354,11,27
2,4,0.604714,-0.729303,0.32006,71.3334,50.3356,22,21
6,-4,-0.200118,-0.971428,0.127593,82.6695,101.6403,14,25
0,10,0.854081,-0.259719,0.450657,63.2142,16.9141,28,19
1,7,0.750645,-0.52391,0.402555,66.262,34.913,25,20
3,2,0.428868,-0.858967,0.279728,73.756,63.4678,20,22
