p,q,x,y,z,theta,phi,hex1,hex2
18,8,-0.485459,0.239655,0.840771,32.7784,-153.726,26,37
12,16,0.278431,0.082133,0.956938,16.8755,-16.4353,34,31
15,10,-0.135949,0.377768,0.915865,23.6711,-109.7925,28,34
12,17,0.287281,0.007156,0.95782,16.7006,-1.4269,35,31
16,9,-0.255207,0.38495,0.886951,27.5074,-123.5429,27,35
14,12,0.043418,0.318284,0.947001,18.7374,-82.232,30,33
13,14,0.184873,0.208621,0.960364,16.1855,-48.4537,32,32
17,9,-0.343824,0.311419,0.885891,27.6386,-137.8312,27,36
13,15,0.198396,0.140132,0.970053,14.0575,-35.2344,33,32
15,11,-0.074715,0.337917,0.938206,20.2476,-102.4679,29,34
14,13,0.082705,0.250139,0.964671,15.2753,-71.7042,31,33
18,9,-0.427044,0.236235,0.872827,29.2112,-151.0493,27,37
16,10,-0.227232,0.335482,0.914231,23.9033,-124.111,28,35
13,16,0.200822,0.064748,0.977486,12.1811,-17.8702,34,32
13,17,0.218771,0.006689,0.975753,12.6429,-1.7513,35,32
15,12,-0.036379,0.282995,0.958431,16.5782,-97.3252,30,34
14,14,0.116826,0.179815,0.976739,12.3823,-56.988,32,33
17,10,-0.295302,0.274524,0.915114,23.7781,-137.0883,28,36
16,11,-0.177076,0.286076,0.941703,19.6605,-121.7568,29,35
18,10,-0.351673,0.191618,0.916302,23.6087,-151.4151,28,37
14,15,0.128473,0.101636,0.986491,9.4284,-38.3477,33,33
15,13,-0.000652,0.211012,0.977483,12.1817,-90.1769,31,34
14,17,0.12822,-0.030807,0.991267,7.5776,13.5101,35,33
14,16,0.148834,0.021084,0.988637,8.6455,-8.0628,34,33
16,12,-0.123072,0.225306,0.966484,14.876,-118.6454,30,35
17,11,-0.2576,0.227271,0.939143,20.0918,-138.5792,29,36
15,14,0.022812,0.129506,0.991316,7.5563,-80.01,32,34
18,11,-0.321251,0.196053,0.926478,22.1077,-148.6051,29,37
16,13,-0.08022,0.168143,0.982493,10.7369,-115.5054,31,35
15,15,0.04445,0.054294,0.997535,4.0237,-50.6929,33,34
15,16,0.059274,-0.031653,0.99774,3.8529,28.1027,34,34
17,12,-0.203173,0.176606,0.963084,15.6167,-139.0014,30,36
18,12,-0.262796,0.119384,0.957437,16.7767,-155.5685,30,37
16,14,-0.052774,0.088755,0.994654,5.9269,-120.7359,32,35
16,16,-0.011122,-0.052935,0.998536,3.1007,101.866,34,35
17,13,-0.145088,0.120263,0.982083,10.8624,-140.3448,31,36
16,15,-0.052515,-0.009351,0.998576,3.0577,169.9036,33,35
18,13,-0.212651,0.06105,0.975219,12.7819,-163.9817,31,37
17,14,-0.14185,0.05737,0.988224,8.8015,-157.9797,32,36
17,15,-0.070883,-0.036041,0.996833,4.561,153.0488,33,36
